"semestre","carrera","promedio","edad","peso","estatura","genero"
8,"SISTEMAS",89.88,24,69,167,"F"
2,"SISTEMAS",94.33,21,77,183,"M"
8,"SISTEMAS",83.95,19,80,170,"F"
2,"SISTEMAS",86.67,20,84,175,"M"
8,"SISTEMAS",89.95,19,83,175,"M"
4,"SISTEMAS",89.67,20,80,178,"F"
5,"SISTEMAS",90.17,21,76,178,"F"
5,"SISTEMAS",86.88,21,79,183,"F"
8,"SISTEMAS",93.47,22,77,196,"F"
6,"SISTEMAS",88.97,19,90,173,"M"
8,"SISTEMAS",85.72,20,70,201,"F"
9,"SISTEMAS",84.67,23,80,174,"F"
6,"SISTEMAS",81.84,22,64,197,"F"
3,"SISTEMAS",88.42,19,69,170,"M"
5,"SISTEMAS",84.7,23,77,177,"F"
3,"SISTEMAS",93.42,19,61,165,"F"
9,"SISTEMAS",83.74,22,74,167,"M"
4,"SISTEMAS",89,21,101,186,"M"
8,"SISTEMAS",92.75,19,83,177,"F"
2,"SISTEMAS",78,19,73,171,"F"
5,"SISTEMAS",87.38,23,76,181,"M"
5,"SISTEMAS",85.04,18,82,193,"M"
6,"SISTEMAS",88.1,20,77,159,"M"
2,"SISTEMAS",83.4,22,92,161,"F"
6,"SISTEMAS",88.47,24,80,170,"F"
6,"SISTEMAS",81.48,20,64,185,"F"
4,"SISTEMAS",85.41,23,63,173,"M"
8,"SISTEMAS",93.5,25,74,171,"F"
2,"SISTEMAS",87,18,87,168,"F"
4,"SISTEMAS",89.06,23,65,176,"M"
4,"SISTEMAS",93.5,21,54,177,"F"
4,"SISTEMAS",88.63,22,67,180,"F"
2,"SISTEMAS",84.83,20,82,170,"F"
5,"SISTEMAS",84.94,22,75,169,"M"
2,"SISTEMAS",80,20,78,167,"F"
2,"SISTEMAS",95.5,19,82,187,"M"
5,"SISTEMAS",79.78,21,64,188,"M"
9,"SISTEMAS",85.74,21,89,182,"F"
5,"SISTEMAS",90.27,18,73,165,"M"
4,"SISTEMAS",81,27,79,196,"M"
2,"SISTEMAS",84.33,20,79,176,"M"
2,"SISTEMAS",89.67,25,87,170,"M"
8,"SISTEMAS",83.44,25,78,181,"F"
6,"SISTEMAS",85.63,20,83,166,"M"
10,"SISTEMAS",79.08,18,76,169,"F"
9,"SISTEMAS",89.16,22,74,169,"M"
9,"SISTEMAS",92.12,21,70,191,"F"
8,"SISTEMAS",93.77,21,74,184,"M"
6,"SISTEMAS",82,22,76,178,"F"
8,"SISTEMAS",92.42,22,88,202,"F"
2,"SISTEMAS",96.5,22,68,177,"F"
2,"SISTEMAS",90.33,22,95,188,"M"
8,"SISTEMAS",87.55,24,77,178,"F"
8,"SISTEMAS",84.44,23,95,175,"F"
6,"SISTEMAS",82.87,21,65,170,"F"
6,"SISTEMAS",83.52,19,70,174,"M"
5,"SISTEMAS",85.71,24,76,199,"M"
3,"SISTEMAS",80.86,20,77,175,"M"
5,"SISTEMAS",86.63,21,69,173,"M"
2,"SISTEMAS",98.67,18,68,181,"M"
5,"SISTEMAS",85.04,20,79,181,"F"
2,"SISTEMAS",92.83,21,71,155,"F"
8,"SISTEMAS",89.74,26,72,176,"M"
2,"SISTEMAS",89,20,71,165,"M"
2,"SISTEMAS",85.83,21,64,148,"F"
9,"SISTEMAS",82.82,23,87,184,"F"
8,"SISTEMAS",83.97,21,75,183,"F"
3,"SISTEMAS",82.09,21,68,176,"F"
4,"SISTEMAS",94,18,91,183,"M"
8,"SISTEMAS",89,21,96,174,"M"
9,"SISTEMAS",90.76,18,87,179,"F"
8,"SISTEMAS",91.93,24,96,162,"F"
9,"SISTEMAS",90.93,23,73,170,"F"
9,"SISTEMAS",83.07,19,63,174,"M"
8,"SISTEMAS",88.33,22,70,190,"F"
8,"SISTEMAS",91.65,18,69,182,"F"
2,"SISTEMAS",97.67,23,69,186,"M"
2,"SISTEMAS",94.83,22,75,189,"F"
8,"SISTEMAS",88.64,22,71,179,"F"
9,"SISTEMAS",85,20,66,184,"F"
2,"SISTEMAS",92,20,89,162,"M"
4,"SISTEMAS",88.67,22,55,183,"M"
2,"SISTEMAS",90.67,22,74,167,"M"
9,"SISTEMAS",92.58,24,90,183,"M"
9,"SISTEMAS",82.97,22,78,165,"M"
5,"SISTEMAS",85.33,19,80,158,"M"
3,"SISTEMAS",89.82,25,87,171,"F"
8,"SISTEMAS",88.51,23,83,171,"M"
5,"SISTEMAS",84.08,24,79,183,"F"
6,"SISTEMAS",93.59,18,83,186,"M"
5,"SISTEMAS",86.04,20,87,186,"M"
4,"SISTEMAS",86.13,21,86,177,"F"
8,"SISTEMAS",88.84,21,79,174,"M"
9,"SISTEMAS",83.07,21,66,171,"F"
2,"SISTEMAS",88.5,19,100,177,"M"
5,"SISTEMAS",88.67,22,99,182,"F"
8,"SISTEMAS",84.2,23,91,167,"M"
4,"SISTEMAS",86.06,25,81,187,"F"
9,"SISTEMAS",87.33,22,63,162,"F"
9,"SISTEMAS",89.45,24,79,169,"M"
8,"SISTEMAS",93.37,22,74,179,"F"
5,"SISTEMAS",84.68,23,69,173,"M"
2,"SISTEMAS",97,22,66,183,"F"
8,"SISTEMAS",80.15,21,75,184,"F"
8,"SISTEMAS",86.87,21,66,184,"F"
4,"SISTEMAS",82.19,18,86,163,"M"
9,"SISTEMAS",82.43,19,58,165,"M"
3,"SISTEMAS",85.08,17,80,172,"F"
4,"SISTEMAS",84.71,24,83,170,"M"
7,"SISTEMAS",88.4,21,73,167,"F"
6,"SISTEMAS",83.86,21,79,172,"F"
5,"SISTEMAS",81.89,20,55,157,"M"
7,"SISTEMAS",86.26,21,62,176,"M"
6,"SISTEMAS",86.3,20,61,169,"M"
2,"SISTEMAS",94.67,21,90,196,"F"
5,"SISTEMAS",83.7,23,63,185,"F"
5,"SISTEMAS",84.18,23,89,180,"F"
2,"SISTEMAS",93.33,25,74,170,"F"
2,"SISTEMAS",88.83,19,80,168,"F"
7,"SISTEMAS",84.92,22,73,180,"M"
9,"SISTEMAS",86.06,20,84,148,"F"
6,"SISTEMAS",85.6,21,93,169,"F"
9,"SISTEMAS",83.04,20,72,159,"F"
5,"SISTEMAS",81.27,23,66,169,"F"
7,"SISTEMAS",90.34,24,65,176,"M"
7,"SISTEMAS",84.79,21,67,180,"F"
4,"SISTEMAS",82.35,24,78,169,"F"
4,"SISTEMAS",87.06,21,71,176,"M"
4,"SISTEMAS",87,22,64,181,"M"
9,"SISTEMAS",89.9,19,75,168,"M"
8,"SISTEMAS",88.26,20,63,180,"M"
4,"SISTEMAS",79.7,20,80,148,"F"
8,"SISTEMAS",84.67,22,74,169,"M"
2,"SISTEMAS",96,23,77,167,"F"
2,"SISTEMAS",90.33,23,92,174,"F"
6,"SISTEMAS",89.2,14,65,183,"M"
7,"SISTEMAS",85.71,20,73,161,"F"
3,"SISTEMAS",93.83,21,69,163,"M"
6,"SISTEMAS",92.5,18,81,165,"M"
8,"SISTEMAS",91.95,22,71,177,"M"
9,"SISTEMAS",88.83,20,78,177,"M"
6,"SISTEMAS",89.03,23,67,198,"M"
8,"SISTEMAS",89.12,19,76,184,"M"
2,"SISTEMAS",85.5,24,65,181,"F"
3,"SISTEMAS",86.09,21,67,179,"F"
8,"SISTEMAS",88.58,21,99,194,"F"
6,"SISTEMAS",92.57,25,88,169,"F"
9,"SISTEMAS",88.91,21,80,175,"F"
9,"SISTEMAS",84.51,21,77,163,"F"
2,"SISTEMAS",90.5,20,63,171,"F"
4,"SISTEMAS",81.6,21,75,187,"F"
9,"SISTEMAS",90.6,22,79,170,"F"
6,"SISTEMAS",89,22,76,175,"F"
4,"SISTEMAS",92.33,23,85,168,"M"
6,"SISTEMAS",82.29,22,76,166,"F"
6,"SISTEMAS",88.79,19,74,162,"M"
2,"SISTEMAS",87.33,19,67,165,"F"
5,"SISTEMAS",82.96,25,62,186,"M"
9,"SISTEMAS",87.11,21,70,174,"M"
2,"SISTEMAS",92,22,73,167,"M"
9,"SISTEMAS",80.08,18,62,171,"M"
6,"SISTEMAS",89.9,21,89,189,"F"
4,"SISTEMAS",87.94,21,57,187,"F"
4,"SISTEMAS",94.06,21,69,165,"F"
8,"SISTEMAS",86.16,21,77,178,"M"
6,"SISTEMAS",93.93,22,79,169,"F"
2,"SISTEMAS",82.67,19,68,174,"M"
9,"SISTEMAS",81.47,22,62,167,"F"
8,"SISTEMAS",82.16,20,69,175,"F"
9,"SISTEMAS",86.94,17,81,180,"M"
8,"SISTEMAS",90,22,68,171,"M"
6,"SISTEMAS",87.8,21,82,171,"F"
3,"SISTEMAS",87.25,19,90,180,"F"
9,"SISTEMAS",88.78,21,80,178,"M"
2,"SISTEMAS",90.25,22,91,177,"M"
4,"SISTEMAS",86.15,23,80,193,"F"
5,"SISTEMAS",82.86,23,74,186,"F"
9,"SISTEMAS",86.21,21,67,175,"F"
2,"SISTEMAS",91.2,17,85,174,"M"
8,"SISTEMAS",84.87,21,77,174,"M"
8,"SISTEMAS",84,23,82,179,"F"
2,"SISTEMAS",81.4,24,87,186,"M"
2,"SISTEMAS",88.33,20,72,181,"F"
5,"SISTEMAS",86.79,24,94,171,"M"
6,"SISTEMAS",88.89,20,71,181,"F"
2,"SISTEMAS",87.83,19,58,165,"M"
4,"SISTEMAS",94.83,19,67,189,"M"
5,"SISTEMAS",86.64,22,100,167,"M"
2,"SISTEMAS",89.67,22,74,193,"M"
6,"SISTEMAS",85.33,21,70,173,"F"
2,"SISTEMAS",90.33,22,62,184,"M"
8,"SISTEMAS",84.61,22,82,182,"M"
2,"SISTEMAS",84.8,19,67,180,"F"
4,"SISTEMAS",93.82,17,70,174,"M"
2,"SISTEMAS",88.5,22,88,192,"M"
2,"SISTEMAS",96.83,19,80,197,"F"
8,"SISTEMAS",92.43,21,83,186,"M"
6,"SISTEMAS",86.97,23,82,179,"M"
5,"SISTEMAS",94.58,22,90,182,"F"
3,"SISTEMAS",79.5,25,56,180,"F"
5,"SISTEMAS",91.83,22,74,177,"F"
4,"SISTEMAS",91.67,20,80,189,"M"
8,"SISTEMAS",83.84,20,78,177,"F"
4,"SISTEMAS",97.21,22,90,167,"M"
5,"SISTEMAS",91.28,18,70,184,"F"
4,"SISTEMAS",89.67,23,64,183,"F"
8,"SISTEMAS",85.78,21,71,165,"M"
6,"SISTEMAS",91.1,22,78,175,"F"
2,"SISTEMAS",95.33,23,85,178,"F"
6,"SISTEMAS",86.38,22,73,195,"F"
6,"SISTEMAS",89.13,21,73,174,"F"
8,"SISTEMAS",89.44,23,81,169,"F"
4,"SISTEMAS",91.59,21,60,166,"F"
8,"SISTEMAS",83.51,15,72,181,"F"
4,"SISTEMAS",85.44,22,76,169,"M"
8,"SISTEMAS",85.6,22,73,170,"F"
3,"SISTEMAS",81.18,23,57,166,"M"
9,"SISTEMAS",84.44,19,91,167,"M"
2,"SISTEMAS",94.83,21,67,187,"F"
8,"SISTEMAS",83.1,23,93,180,"M"
4,"SISTEMAS",89.39,20,86,178,"F"
3,"SISTEMAS",91.17,20,70,184,"M"
5,"SISTEMAS",86.67,21,74,173,"F"
4,"SISTEMAS",90.89,21,90,173,"F"
6,"SISTEMAS",82.32,21,78,181,"M"
6,"SISTEMAS",87.67,20,67,176,"M"
4,"SISTEMAS",82.21,21,71,187,"F"
2,"SISTEMAS",93.5,24,66,172,"F"
3,"SISTEMAS",86.6,22,63,179,"F"
7,"SISTEMAS",86.77,21,81,182,"M"
2,"SISTEMAS",95,21,75,174,"M"
5,"SISTEMAS",84.26,22,78,203,"M"
7,"SISTEMAS",84.6,24,70,170,"M"
9,"SISTEMAS",81,23,70,174,"M"
2,"SISTEMAS",83.5,22,86,176,"M"
5,"SISTEMAS",88.39,22,80,185,"M"
6,"SISTEMAS",93.83,22,71,169,"F"
6,"SISTEMAS",91.72,21,66,180,"M"
6,"SISTEMAS",81,17,80,160,"F"
8,"SISTEMAS",83.38,22,86,170,"M"
2,"SISTEMAS",85.25,22,85,158,"F"
4,"SISTEMAS",86.17,16,88,162,"M"
9,"SISTEMAS",80.25,19,76,176,"M"
3,"SISTEMAS",88.58,21,77,171,"F"
9,"SISTEMAS",84.67,21,80,180,"F"
8,"SISTEMAS",93.16,21,73,164,"F"
4,"SISTEMAS",93.06,20,87,175,"F"
4,"SISTEMAS",85.7,22,74,184,"F"
4,"SISTEMAS",81.5,18,78,181,"M"
9,"SISTEMAS",89.58,25,66,185,"F"
6,"SISTEMAS",87.04,20,69,182,"M"
4,"SISTEMAS",81.56,22,74,162,"F"
7,"SISTEMAS",89.06,21,70,177,"M"
2,"SISTEMAS",89.67,25,99,175,"M"
7,"SISTEMAS",89.83,18,82,164,"F"
2,"SISTEMAS",84.17,21,87,182,"M"
6,"SISTEMAS",88.93,21,68,170,"M"
6,"SISTEMAS",89.59,18,81,211,"M"
2,"SISTEMAS",95.17,19,69,162,"F"
5,"SISTEMAS",83.91,17,81,183,"M"
2,"SISTEMAS",97,20,70,158,"F"
8,"SISTEMAS",81.62,21,79,193,"F"
8,"SISTEMAS",87.18,20,79,195,"F"
3,"SISTEMAS",90.58,22,79,166,"F"
8,"SISTEMAS",86.88,21,84,167,"M"
4,"SISTEMAS",92.17,19,76,179,"F"
6,"SISTEMAS",88.6,21,61,175,"M"
6,"SISTEMAS",89.82,23,71,174,"F"
8,"SISTEMAS",83.38,24,63,190,"F"
5,"SISTEMAS",79.75,22,68,185,"F"
6,"SISTEMAS",87.4,20,79,182,"F"
3,"SISTEMAS",86.08,22,72,169,"F"
4,"SISTEMAS",87.22,23,73,183,"M"
6,"SISTEMAS",93.19,23,81,191,"F"
9,"SISTEMAS",84.04,21,84,187,"M"
3,"SISTEMAS",87.7,22,72,185,"M"
6,"SISTEMAS",86.88,21,63,192,"M"
3,"SISTEMAS",88.75,20,83,186,"M"
6,"SISTEMAS",81.23,22,71,164,"F"
3,"SISTEMAS",85.58,19,82,162,"M"
9,"SISTEMAS",81.75,23,76,187,"F"
4,"SISTEMAS",94.78,21,71,172,"M"
4,"SISTEMAS",86.83,21,79,186,"M"
2,"SISTEMAS",70,18,77,165,"M"
2,"SISTEMAS",96.33,23,79,185,"F"
2,"SISTEMAS",86.17,20,80,170,"M"
6,"SISTEMAS",87.28,21,67,183,"M"
8,"SISTEMAS",88.45,22,65,169,"M"
9,"SISTEMAS",79.86,17,49,168,"M"
2,"SISTEMAS",88.17,22,80,165,"M"
5,"SISTEMAS",84.79,21,79,173,"M"
4,"SISTEMAS",93.83,18,96,162,"M"
5,"SISTEMAS",85.52,22,75,177,"F"
5,"SISTEMAS",79.67,20,98,179,"M"
2,"SISTEMAS",76.83,22,83,172,"F"
4,"SISTEMAS",79.25,20,88,164,"F"
4,"SISTEMAS",83.78,22,71,177,"M"
4,"SISTEMAS",80.4,19,55,169,"F"
8,"SISTEMAS",83.21,18,80,163,"F"
3,"SISTEMAS",88.75,23,57,191,"F"
7,"SISTEMAS",86.67,19,74,172,"F"
4,"SISTEMAS",83.08,24,70,182,"F"
4,"SISTEMAS",96.78,21,72,170,"M"
9,"SISTEMAS",81.87,20,56,166,"M"
3,"SISTEMAS",85.09,20,66,193,"M"
6,"SISTEMAS",91.23,21,82,182,"F"
6,"SISTEMAS",81.33,20,82,168,"F"
3,"SISTEMAS",81.64,20,79,192,"F"
8,"SISTEMAS",80.9,20,66,189,"M"
2,"SISTEMAS",97.5,20,70,183,"M"
4,"SISTEMAS",84.28,22,55,166,"M"
2,"SISTEMAS",94.5,22,81,184,"F"
3,"SISTEMAS",89.58,22,70,151,"F"
7,"SISTEMAS",86.97,16,77,165,"M"
5,"SISTEMAS",83.29,23,78,178,"M"
2,"SISTEMAS",91.83,23,72,192,"M"
4,"SISTEMAS",81.9,21,77,177,"M"
2,"SISTEMAS",81.8,20,85,184,"F"
8,"SISTEMAS",90.66,23,96,174,"F"
9,"SISTEMAS",85.63,23,82,180,"M"
2,"SISTEMAS",92.67,19,75,161,"F"
4,"SISTEMAS",86.29,21,61,180,"F"
8,"SISTEMAS",85.88,19,76,170,"M"
6,"SISTEMAS",85,20,68,163,"F"
6,"SISTEMAS",83.77,21,80,162,"F"
5,"SISTEMAS",88.58,21,64,161,"M"
2,"SISTEMAS",85.67,18,79,180,"F"
8,"SISTEMAS",90.98,22,56,168,"M"
6,"SISTEMAS",83.93,21,66,168,"F"
3,"SISTEMAS",93.57,22,76,157,"M"
8,"SISTEMAS",78.29,21,77,155,"F"
3,"SISTEMAS",86.5,22,74,183,"F"
2,"SISTEMAS",94.17,18,80,161,"M"
5,"SISTEMAS",86.78,19,93,179,"M"
9,"SISTEMAS",87.45,20,79,169,"F"
3,"SISTEMAS",83.5,17,71,176,"F"
14,"TIC",79.12,19,81,170,"M"
10,"TIC",82.96,22,71,178,"M"
10,"TIC",83.26,20,69,167,"M"
10,"TIC",82.28,22,72,174,"M"
12,"TIC",79.21,19,63,167,"M"
2,"TIC",88.83,21,85,172,"M"
4,"TIC",88.12,22,72,176,"F"
8,"TIC",84.74,20,74,174,"M"
4,"TIC",83.12,19,85,160,"M"
6,"TIC",84.39,23,75,170,"F"
2,"TIC",85.17,20,55,187,"M"
8,"TIC",81.95,21,71,174,"M"
4,"TIC",79.13,24,77,198,"F"
4,"TIC",88.59,17,69,152,"F"
2,"TIC",91.83,19,80,182,"F"
8,"TIC",79.95,21,75,185,"F"
4,"TIC",82.33,21,68,179,"F"
2,"TIC",89.17,21,66,168,"F"
4,"TIC",78.47,23,84,183,"F"
2,"TIC",92.83,21,84,173,"M"
6,"TIC",88.66,21,65,189,"M"
6,"TIC",82.26,24,87,179,"F"
4,"TIC",82.59,18,63,162,"M"
4,"TIC",86,23,78,166,"M"
6,"TIC",81.04,17,75,174,"M"
4,"TIC",90.18,22,72,178,"M"
2,"TIC",84.83,21,63,172,"M"
6,"TIC",84.71,23,79,166,"M"
6,"TIC",83.61,18,89,183,"F"
6,"TIC",90.62,23,81,182,"M"
4,"TIC",77.44,23,82,179,"M"
6,"TIC",82.89,24,58,195,"M"
8,"TIC",84.06,22,83,165,"M"
4,"TIC",85.35,24,70,193,"M"
2,"TIC",90.5,22,72,148,"F"
2,"TIC",88.67,19,74,179,"F"
4,"TIC",93.65,17,91,167,"F"
2,"TIC",93,17,67,181,"F"
4,"TIC",77.2,22,81,161,"F"
4,"TIC",78.47,20,83,173,"F"
6,"TIC",84.48,22,70,185,"M"
4,"TIC",89.35,21,89,178,"F"
8,"TIC",83.81,20,81,179,"M"
8,"TIC",86.53,20,71,157,"F"
8,"TIC",89.81,21,75,159,"M"
8,"TIC",77.67,17,80,168,"F"
2,"TIC",89.83,19,68,200,"M"
2,"TIC",88.4,18,81,182,"F"
8,"TIC",80.24,19,63,168,"M"
2,"TIC",89.67,24,60,181,"M"
2,"TIC",81,22,95,174,"F"
2,"TIC",86,19,80,189,"M"
2,"TIC",91.8,23,87,173,"M"
6,"TIC",86.07,19,94,190,"F"
6,"TIC",92.34,22,78,171,"M"
6,"TIC",88.17,20,75,179,"F"
8,"TIC",81.74,16,69,186,"F"
2,"TIC",85.8,23,57,168,"M"
8,"TIC",81.15,22,60,173,"F"
4,"TIC",86.29,20,84,184,"M"
6,"TIC",90.21,19,69,162,"F"
2,"TIC",92,20,76,166,"M"
8,"TIC",84.89,23,67,182,"M"
6,"TIC",84.46,21,35,160,"F"
8,"TIC",82.74,21,74,180,"F"
8,"TIC",89.93,18,94,180,"F"
2,"TIC",83.4,21,92,173,"M"
2,"TIC",87.6,22,71,177,"M"
4,"TIC",83.27,20,76,161,"M"
6,"TIC",86.28,20,70,178,"M"
2,"TIC",89.17,20,82,178,"F"
2,"TIC",87.67,20,91,172,"F"
4,"TIC",89.94,22,73,181,"F"
6,"TIC",91.07,22,68,167,"F"
8,"TIC",79.35,22,73,165,"F"
4,"TIC",80.5,22,91,181,"M"
12,"INFORMATICA",81.76,23,74,180,"F"
10,"INFORMATICA",88.68,20,65,169,"F"
12,"INFORMATICA",90.14,22,89,185,"M"
12,"INFORMATICA",81.42,22,86,165,"M"
10,"INFORMATICA",89.72,22,72,173,"F"
10,"INFORMATICA",82.03,22,67,172,"M"
10,"INFORMATICA",85.15,26,94,177,"M"
10,"INFORMATICA",88.05,23,88,174,"F"
10,"INFORMATICA",88.12,17,89,174,"F"
10,"INFORMATICA",77.08,19,70,180,"M"
10,"INFORMATICA",82.52,19,74,184,"F"
10,"INFORMATICA",87.96,22,73,173,"M"
10,"INFORMATICA",82.5,20,76,171,"M"
10,"INFORMATICA",91.44,22,76,162,"F"
15,"INFORMATICA",78.02,19,93,154,"F"
12,"INFORMATICA",83.74,19,77,173,"M"
10,"INFORMATICA",84.96,23,72,170,"M"
6,"INFORMATICA",85.14,19,86,195,"F"
4,"INFORMATICA",83,23,76,164,"F"
4,"INFORMATICA",89.83,22,63,162,"F"
4,"INFORMATICA",84.24,21,79,178,"F"
6,"INFORMATICA",94.57,24,82,169,"M"
2,"INFORMATICA",88.8,23,61,170,"F"
4,"INFORMATICA",85.5,23,69,162,"M"
8,"INFORMATICA",88,19,86,171,"M"
6,"INFORMATICA",95.87,23,78,175,"F"
4,"INFORMATICA",92.29,19,78,178,"F"
4,"INFORMATICA",90.14,19,83,192,"M"
4,"INFORMATICA",91.44,24,54,167,"M"
8,"INFORMATICA",88.27,23,70,178,"F"
8,"INFORMATICA",80.15,23,79,163,"M"
8,"INFORMATICA",82.52,19,84,171,"M"
2,"INFORMATICA",91.33,24,66,170,"F"
6,"INFORMATICA",85.12,19,83,182,"F"
6,"INFORMATICA",81.44,21,61,173,"F"
2,"INFORMATICA",96.83,20,68,194,"M"
2,"INFORMATICA",90.5,21,89,196,"F"
2,"INFORMATICA",91.67,17,58,179,"M"
2,"INFORMATICA",88,21,77,180,"M"
6,"INFORMATICA",83.48,21,76,193,"M"
6,"INFORMATICA",88.63,20,80,176,"F"
6,"INFORMATICA",91.23,22,69,163,"M"
4,"INFORMATICA",92.39,22,72,182,"M"
6,"INFORMATICA",89.8,23,78,163,"F"
2,"INFORMATICA",92.6,23,82,176,"M"
2,"INFORMATICA",83.2,20,69,172,"M"
2,"INFORMATICA",84.83,22,74,172,"M"
6,"INFORMATICA",92.33,20,55,173,"M"
4,"INFORMATICA",84,19,71,176,"M"
2,"INFORMATICA",85.5,19,91,161,"M"
4,"INFORMATICA",91.06,19,75,168,"M"
4,"INFORMATICA",83.11,18,80,172,"M"
2,"INFORMATICA",88,26,83,170,"F"
4,"INFORMATICA",86.41,19,79,166,"F"
8,"INFORMATICA",82.44,22,86,164,"M"
2,"INFORMATICA",89.83,21,74,177,"M"
3,"INFORMATICA",83.17,20,70,182,"M"
6,"INFORMATICA",92.03,21,58,181,"M"
2,"INFORMATICA",92.67,15,71,167,"M"
8,"INFORMATICA",86.29,22,72,180,"M"
8,"INFORMATICA",90.78,23,85,178,"M"
8,"INFORMATICA",88.17,19,62,161,"M"
4,"INFORMATICA",91.35,19,85,156,"M"
4,"INFORMATICA",92.67,22,75,156,"F"
5,"INFORMATICA",89.27,23,83,185,"M"
4,"INFORMATICA",93.94,20,75,186,"F"
2,"INFORMATICA",86.5,25,69,174,"F"
8,"INFORMATICA",81.88,20,82,170,"F"
4,"INFORMATICA",89.41,20,72,181,"M"
4,"INFORMATICA",84.76,25,62,168,"M"
6,"INFORMATICA",80.36,20,62,163,"F"
4,"INFORMATICA",88.67,20,68,163,"F"
2,"INFORMATICA",81.4,20,80,179,"F"
2,"INFORMATICA",89.33,21,68,182,"F"
2,"INFORMATICA",86.5,19,77,169,"M"
2,"INFORMATICA",89.33,23,80,163,"F"
2,"INFORMATICA",88,23,91,169,"M"
2,"INFORMATICA",90.83,22,94,174,"F"
6,"INFORMATICA",86.08,23,82,191,"F"
4,"INFORMATICA",86.82,19,90,162,"F"
4,"INFORMATICA",84.87,18,90,177,"M"
2,"INFORMATICA",91,20,68,177,"M"
2,"INFORMATICA",91.83,26,73,172,"F"
2,"INFORMATICA",91.33,22,89,175,"F"
4,"INFORMATICA",85,21,76,176,"M"
6,"INFORMATICA",84.91,21,80,152,"F"
2,"INFORMATICA",89.67,20,73,161,"M"
8,"INFORMATICA",91.44,24,62,168,"F"
8,"INFORMATICA",83.29,22,70,186,"F"
8,"INFORMATICA",80.44,21,69,164,"F"
8,"INFORMATICA",85.88,21,85,164,"F"
4,"INFORMATICA",86.83,19,88,185,"F"
8,"INFORMATICA",86.62,18,82,182,"F"
2,"INFORMATICA",94.2,20,83,168,"M"
2,"INFORMATICA",91.5,19,91,173,"F"
10,"ADMINISTRACION",87.67,18,84,181,"M"
10,"ADMINISTRACION",90.29,22,91,178,"F"
10,"ADMINISTRACION",85.6,21,85,180,"M"
10,"ADMINISTRACION",89.56,18,65,174,"M"
11,"ADMINISTRACION",87.25,22,77,176,"F"
10,"ADMINISTRACION",87.1,18,88,174,"M"
11,"ADMINISTRACION",88.16,20,77,157,"M"
12,"ADMINISTRACION",90.12,22,59,184,"M"
10,"ADMINISTRACION",89.04,20,62,166,"M"
10,"ADMINISTRACION",88.6,24,89,164,"F"
10,"ADMINISTRACION",93.36,20,85,173,"M"
10,"ADMINISTRACION",92.02,22,69,199,"M"
10,"ADMINISTRACION",93.06,19,62,179,"M"
8,"ADMINISTRACION",90.71,18,96,180,"M"
