palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,Region,Area
50.3,29.1,24.7,49.6,59.6,45.8,77.7,0,Inland Sardinia,Sardinia
48.8,31.3,27.4,48.3,64.6,50,60.2,0,Inland Sardinia,Sardinia
46.4,24.5,22,52,63.3,34.7,63.1,0,Inland Sardinia,Sardinia
44.2,22.6,30.5,52.1,63.4,37.5,85.4,0,Inland Sardinia,Sardinia
42.8,33.6,36.8,50,66.3,36.1,54.4,0,Inland Sardinia,Sardinia
45.2,24.9,30,52.6,59.6,43.1,76.7,0,Inland Sardinia,Sardinia
44.1,29.4,26.9,51.2,64.2,45.8,64.1,0,Inland Sardinia,Sardinia
38.8,32.5,38.6,51.4,65.8,36.1,84.5,0,Inland Sardinia,Sardinia
49.3,31.7,27.8,48.9,63.9,27.8,63.1,0,Inland Sardinia,Sardinia
48.7,26,22,48.7,66,37.5,72.8,0,Inland Sardinia,Sardinia
43.1,27.5,22.9,52.8,63.1,48.6,73.8,0,Inland Sardinia,Sardinia
50.3,22.6,23.8,51.9,64.5,43.1,69.9,0,Inland Sardinia,Sardinia
43.8,35.5,30.5,49.1,67.7,36.1,55.3,0,Inland Sardinia,Sardinia
44.6,29.1,25.6,50,66.2,41.7,68.9,0,Inland Sardinia,Sardinia
42.8,29.4,31.4,51,65.1,25,49.5,0,Inland Sardinia,Sardinia
41.8,31.3,30,50.8,66.2,43.1,73.8,0,Inland Sardinia,Sardinia
39.2,35.1,33.6,52.3,65.2,38.9,62.1,0,Inland Sardinia,Sardinia
43.2,26,26.5,52.8,62.9,38.9,67,0,Inland Sardinia,Sardinia
47.3,30.9,32.7,49.3,63.9,36.1,61.2,0,Inland Sardinia,Sardinia
38.8,30.6,37.7,52.1,64.5,41.7,75.7,0,Inland Sardinia,Sardinia
44.8,26.8,26,50.2,65.4,40.3,78.6,0,Inland Sardinia,Sardinia
47.1,29.4,39.9,48.5,63.6,29.2,69.9,0,Inland Sardinia,Sardinia
41.3,28.7,21.5,52.6,64.5,47.2,75.7,0,Inland Sardinia,Sardinia
42.8,34.3,30,53.4,66.2,43.1,72.8,0,Inland Sardinia,Sardinia
41.4,30.2,23.3,52.5,66.7,34.7,74.8,0,Inland Sardinia,Sardinia
50.5,27.9,22,51.2,63.7,44.4,82.5,0,Inland Sardinia,Sardinia
43.1,33.6,31.8,50.6,64.9,56.9,52.4,0,Inland Sardinia,Sardinia
39.2,23.8,26.5,53.1,68.3,38.9,77.7,0,Inland Sardinia,Sardinia
38.9,24.2,27.4,54,66.7,36.1,57.3,0,Inland Sardinia,Sardinia
40.1,26.8,30.5,53.1,64,37.5,74.8,0,Inland Sardinia,Sardinia
44,27.5,26,49.9,67.9,36.1,68,0,Inland Sardinia,Sardinia
47.6,7.5,38.1,43,65.6,25,42.7,0,Inland Sardinia,Sardinia
39,30.6,30,47.5,70.5,27.8,43.7,0,Inland Sardinia,Sardinia
44,39.6,29.6,47.5,69.5,29.2,41.7,0,Inland Sardinia,Sardinia
37.3,26,27.8,52.3,71.3,26.4,66,0,Inland Sardinia,Sardinia
40.9,31.3,28.3,46.4,77.5,36.1,64.1,0,Inland Sardinia,Sardinia
43.8,24.9,25.1,47.9,71.3,38.9,85.4,0,Inland Sardinia,Sardinia
38.2,32.5,23.8,50.6,71.2,31.9,80.6,0,Inland Sardinia,Sardinia
43.6,30.2,26,48.3,65.1,27.8,68,0,Inland Sardinia,Sardinia
45.2,26.4,21.1,52.8,59.9,47.2,81.6,0,Inland Sardinia,Sardinia
40.4,31.3,35,49.5,70,30.6,69.9,0,Inland Sardinia,Sardinia
46.3,23.8,30.9,50.1,65.8,27.8,65,0,Inland Sardinia,Sardinia
41.8,39.6,29.6,47.2,68.2,45.8,100,0,Inland Sardinia,Sardinia
41.3,26.8,35.4,52.3,64.7,27.8,68.9,0,Inland Sardinia,Sardinia
38.2,33.2,34.1,50.4,70.9,31.9,62.1,0,Inland Sardinia,Sardinia
46,25.3,22.9,48.3,68.5,38.9,83.5,0,Inland Sardinia,Sardinia
40,36.2,35.4,50.4,68.6,25,61.2,0,Inland Sardinia,Sardinia
43.8,23.8,30.5,50.5,68.6,25,61.2,0,Inland Sardinia,Sardinia
44.4,28.7,22,48.2,72.1,30.6,69.9,0,Inland Sardinia,Sardinia
42.8,35.1,29.6,51.3,71.9,36.1,83.5,0,Inland Sardinia,Sardinia
43,30.6,30.5,49.3,66.4,33.3,91.3,0,Inland Sardinia,Sardinia
48.7,35.1,41.7,36.3,85.9,27.8,70.9,0,Coast Sardinia,Sardinia
46.5,35.8,39.9,37,87.5,26.4,64.1,0,Coast Sardinia,Sardinia
43.1,41.5,43.9,38.9,83.9,26.4,78.6,0,Coast Sardinia,Sardinia
52.5,27.2,38.6,32.7,91.5,31.9,70.9,0,Coast Sardinia,Sardinia
53.6,36.6,41.7,33.5,86.8,27.8,61.2,0,Coast Sardinia,Sardinia
49.4,30.9,53.8,31.8,92.2,25,78.6,0,Coast Sardinia,Sardinia
48.4,39.2,47.1,39.3,78.8,27.8,57.3,0,Coast Sardinia,Sardinia
50.4,36.2,39.9,27.6,100,27.8,90.3,0,Coast Sardinia,Sardinia
48.9,30.6,39.5,35.2,88.9,30.6,74.8,0,Coast Sardinia,Sardinia
45.5,33.6,39.9,40,84.6,18.1,54.4,0,Coast Sardinia,Sardinia
46.4,31.7,47.1,36.3,89.4,30.6,85.4,0,Coast Sardinia,Sardinia
43.2,32.1,48.4,40.9,81.6,31.9,69.9,0,Coast Sardinia,Sardinia
46.3,27.2,36.3,40,84.1,31.9,68,0,Coast Sardinia,Sardinia
51,34,47.5,34.1,87.3,33.3,62.1,0,Coast Sardinia,Sardinia
46.7,29.8,37.2,39,85.3,30.6,63.1,0,Coast Sardinia,Sardinia
42.1,30.6,39.5,40.9,86.3,36.1,53.4,0,Coast Sardinia,Sardinia
42.3,42.3,44.8,40.7,81.9,36.1,58.3,0,Coast Sardinia,Sardinia
47.1,30.2,47.5,37.2,88,29.2,67,0,Coast Sardinia,Sardinia
46.9,32.5,45.7,38.1,84.3,31.9,64.1,0,Coast Sardinia,Sardinia
48.8,35.8,48.9,36.4,83.1,34.7,72.8,0,Coast Sardinia,Sardinia
46.3,27.2,25.1,41.2,84.1,36.1,53.4,0,Coast Sardinia,Sardinia
50.2,35.1,27.8,36.8,84.1,43.1,80.6,0,Coast Sardinia,Sardinia
41.4,23.4,22.4,44.7,83.9,37.5,63.1,0,Coast Sardinia,Sardinia
45.3,28.3,39.5,36.4,91.5,29.2,70.9,0,Coast Sardinia,Sardinia
48.2,36.2,38.6,37,90.4,31.9,76.7,0,Coast Sardinia,Sardinia
47.2,30.2,43.9,34.8,92,27.8,64.1,0,Coast Sardinia,Sardinia
43.4,33.2,51.6,39.6,83.5,30.6,71.8,0,Coast Sardinia,Sardinia
45.9,32.1,37.7,36.1,91.2,33.3,65,0,Coast Sardinia,Sardinia
42.4,27.9,40.8,42.7,83.6,22.2,56.3,0,Coast Sardinia,Sardinia
44.9,30.6,37.7,37.2,90.4,25,70.9,0,Coast Sardinia,Sardinia
50.5,29.1,39.9,33.5,90.8,27.8,79.6,0,Coast Sardinia,Sardinia
49.1,34.3,40.4,34.4,90,31.9,67,0,Coast Sardinia,Sardinia
49.8,24.5,35,65.9,26.6,52.8,66,0,East Liguria,North
43.6,28.3,43.9,65.4,30.5,38.9,75.7,0,East Liguria,North
45.3,20.8,39.5,67.3,27.6,52.8,75.7,0,East Liguria,North
48.9,20.8,43.9,64,29.5,38.9,85.4,0,East Liguria,North
52.4,13.2,26,69.7,23.7,25,46.6,0,East Liguria,North
47.1,13.2,21.5,80.1,12.9,11.1,17.5,0,East Liguria,North
54.2,24.5,39.5,62.1,30.5,38.9,56.3,0,East Liguria,North
50.7,28.3,43.9,57.8,34.4,66.7,95.1,0,East Liguria,North
53.3,20.8,43.9,59.7,32.5,52.8,85.4,0,East Liguria,North
54.2,24.5,30.5,58.8,31.5,80.6,95.1,0,East Liguria,North
50.7,32.1,17,57.8,36.4,66.7,95.1,0,East Liguria,North
48.9,28.3,30.5,60.7,33.5,52.8,85.4,0,East Liguria,North
46.2,32.1,39.5,62.6,32.5,38.9,85.4,0,East Liguria,North
41.8,32.1,48.4,66.8,29.5,25,66,0,East Liguria,North
42.7,28.3,57.4,67.8,26.6,66.7,95.1,0,East Liguria,North
36.4,32.1,52.9,69.7,25.6,52.8,85.4,0,East Liguria,North
42.7,28.3,43.9,65.4,30.5,80.6,75.7,0,East Liguria,North
45.3,32.1,48.4,67.3,22.7,38.9,75.7,0,East Liguria,North
41.8,24.5,39.5,72.5,21.7,38.9,66,0,East Liguria,North
48.9,20.8,35,73.9,18.8,11.1,17.5,0,East Liguria,North
43.6,24.5,39.5,72,21.7,25,66,0,East Liguria,North
39.1,32.1,43.9,77.3,17.8,11.1,27.2,0,East Liguria,North
42.7,28.3,52.9,70.1,23.7,38.9,46.6,0,East Liguria,North
45.3,24.5,48.4,68.7,22.7,38.9,75.7,0,East Liguria,North
45.3,32.1,43.9,65.4,27.6,52.8,66,0,East Liguria,North
51.6,28.3,35,64.9,25.6,38.9,75.7,0,East Liguria,North
49.8,35.8,43.9,62.6,28.6,25,85.4,0,East Liguria,North
45.3,32.1,35,67.3,27.6,25,66,0,East Liguria,North
51.6,24.5,52.9,65.9,26.6,11.1,36.9,0,East Liguria,North
70.2,28.3,52.9,53.1,34.4,0,17.5,0,East Liguria,North
65.8,24.5,43.9,57.8,30.5,11.1,27.2,0,East Liguria,North
42.7,17,30.5,75.4,21.7,11.1,56.3,0,East Liguria,North
48,28.3,35,70.6,19.8,38.9,56.3,0,East Liguria,North
56,28.3,30.5,72,13.9,11.1,27.2,0,East Liguria,North
54.2,32.1,39.5,75.4,8,0,7.8,0,East Liguria,North
50.7,24.5,43.9,74.4,12.9,11.1,27.2,0,East Liguria,North
49.8,35.8,39.5,67.8,17.8,38.9,85.4,0,East Liguria,North
49.8,32.1,57.4,66.8,18.8,25,66,0,East Liguria,North
50.7,24.5,30.5,70.6,22.7,11.1,36.9,0,East Liguria,North
52.4,28.3,39.5,72,13.9,11.1,46.6,0,East Liguria,North
47.1,28.3,39.5,74.9,11.9,25,56.3,0,East Liguria,North
48.9,20.8,26,74.4,12.9,38.9,75.7,0,East Liguria,North
46.2,24.5,43.9,70.1,19.8,52.8,56.3,0,East Liguria,North
48,24.5,39.5,71.1,17.8,38.9,66,0,East Liguria,North
44.4,20.8,39.5,72,21.7,25,66,0,East Liguria,North
48,20.8,30.5,73.5,16.8,25,36.9,0,East Liguria,North
50.7,24.5,39.5,69.2,21.7,25,46.6,0,East Liguria,North
36.4,24.5,43.9,76.8,22.7,11.1,27.2,0,East Liguria,North
0,24.5,35,100,19.8,0,17.5,0,East Liguria,North
44.4,43.4,26,59.2,54,0,0,0,West Liguria,North
36.4,32.1,30.5,58.3,56.9,0,0,0,West Liguria,North
40.9,39.6,26,61.6,53,0,7.8,0,West Liguria,North
35.6,28.3,88.8,55.9,58.9,11.1,7.8,0,West Liguria,North
40,47.2,39.5,65.4,37.4,11.1,36.9,0,West Liguria,North
40,47.2,52.9,62.6,42.3,11.1,17.5,0,West Liguria,North
37.3,32.1,35,68.2,44.2,0,0,0,West Liguria,North
45.3,43.4,43.9,58.3,51.1,0,0,0,West Liguria,North
37.3,35.8,30.5,69.2,52.1,0,0,0,West Liguria,North
40.9,32.1,35,61.6,53,11.1,0,0,West Liguria,North
47.1,62.3,30.5,62.1,39.3,11.1,7.8,0,West Liguria,North
42.7,62.3,35,61.1,40.3,11.1,36.9,0,West Liguria,North
32.9,35.8,66.4,67.3,45.2,11.1,0,0,West Liguria,North
32.9,28.3,79.8,58.8,57.9,0,0,0,West Liguria,North
31.1,28.3,21.5,71.6,48.1,0,0,0,West Liguria,North
33.8,28.3,26,70.1,47.2,0,0,0,West Liguria,North
40,39.6,26,61.6,55,0,0,0,West Liguria,North
56,50.9,43.9,62.1,27.6,11.1,7.8,0,West Liguria,North
40,28.3,70.9,73.5,23.7,0,0,0,West Liguria,North
36.4,32.1,61.9,62.6,50.1,0,7.8,0,West Liguria,North
32,28.3,30.5,66.4,56,0,0,0,West Liguria,North
50.7,43.4,30.5,54.5,55,0,7.8,0,West Liguria,North
40,47.2,39.5,65.9,39.3,11.1,7.8,0,West Liguria,North
33.8,32.1,43.9,63,56.9,0,0,0,West Liguria,North
35.6,28.3,88.8,63,48.1,11.1,0,0,West Liguria,North
38.2,28.3,43.9,70.1,36.4,11.1,7.8,0,West Liguria,North
38.2,28.3,43.9,71.6,35.4,11.1,7.8,0,West Liguria,North
36.4,28.3,88.8,62.6,46.2,11.1,0,0,West Liguria,North
36.4,28.3,48.4,62.6,55,0,0,0,West Liguria,North
35.6,28.3,88.8,62.1,47.2,11.1,0,0,West Liguria,North
27.6,35.8,84.3,67.3,45.2,0,0,0,West Liguria,North
37.3,32.1,43.9,66.8,44.2,0,7.8,0,West Liguria,North
31.1,28.3,66.4,72,37.4,0,0,0,West Liguria,North
37.3,35.8,26,71.6,38.4,0,0,0,West Liguria,North
35.6,32.1,39.5,66.8,45.2,11.1,17.5,0,West Liguria,North
36.4,28.3,39.5,71.1,39.3,0,0,0,West Liguria,North
45.3,28.3,66.4,64,37.4,0,7.8,0,West Liguria,North
42.7,28.3,61.9,66.8,34.4,11.1,0,0,West Liguria,North
43.6,39.6,57.4,63,31.5,11.1,7.8,0,West Liguria,North
42.7,24.5,39.5,72,30.5,11.1,0,0,West Liguria,North
48,28.3,43.9,67.3,35.4,0,7.8,0,West Liguria,North
44.4,28.3,35,71.6,29.5,0,7.8,0,West Liguria,North
35.6,35.8,26,67.3,49.1,0,0,0,West Liguria,North
40.9,32.1,30.5,67.8,41.3,11.1,7.8,0,West Liguria,North
59.6,35.8,61.9,56.4,33.5,11.1,7.8,0,West Liguria,North
40,32.1,52.9,68.2,35.4,11.1,7.8,0,West Liguria,North
35.6,28.3,26,67.3,51.1,0,0,0,West Liguria,North
33.8,39.6,43.9,68.7,41.3,11.1,7.8,0,West Liguria,North
31.1,24.5,39.5,78.2,28.6,11.1,17.5,0,West Liguria,North
42.2,20.8,14.8,78.4,14.9,31.9,51.5,0,Umbria,North
42.7,17,17,78.2,14.9,36.1,43.7,0,Umbria,North
41.8,18.9,16.6,78.7,15.1,45.8,17.5,0,Umbria,North
42.7,17,19.3,78.4,14.9,36.1,38.8,0,Umbria,North
44,15.1,21.5,75.8,14.9,48.6,51.5,0,Umbria,North
40,22.6,10.3,79.4,15.9,25,51.5,0,Umbria,North
39.1,20.8,8.1,79.5,15.4,36.1,61.2,0,Umbria,North
43.6,15.1,20.6,76.1,14.9,45.8,46.6,0,Umbria,North
40.4,18.9,11.7,78.9,15.4,27.8,61.2,0,Umbria,North
42.2,17,16.1,78.4,15.1,38.9,46.6,0,Umbria,North
41.8,18.9,12.6,78.7,15.4,31.9,51.5,0,Umbria,North
42.2,17,17,78.4,15.1,38.9,49.5,0,Umbria,North
41.3,20,19.3,78.7,15.1,25,36.9,0,Umbria,North
42.7,16.2,17.9,78.2,14.9,45.8,36.9,0,Umbria,North
43.1,17,20.6,78,14.9,50,31.1,0,Umbria,North
42.7,16.2,19.3,78.2,14.9,38.9,38.8,0,Umbria,North
43.1,16.2,20.6,78.2,15.1,45.8,29.1,0,Umbria,North
42.7,16.2,19.3,77.7,14.9,45.8,38.8,0,Umbria,North
43.1,16.2,20.6,78,14.9,45.8,31.1,0,Umbria,North
43.1,15.1,21.5,77.7,14.9,45.8,41.7,0,Umbria,North
41.8,20.8,16.1,78.9,15.7,36.1,33,0,Umbria,North
42.7,17,19.3,78.2,14.9,41.7,35,0,Umbria,North
44,15.1,21.5,75.8,14.4,51.4,52.4,0,Umbria,North
44.4,13.2,23.8,75.8,14.4,52.8,48.5,0,Umbria,North
41.3,20.8,20.6,79.5,15.7,36.1,30.1,0,Umbria,North
41.3,18.9,14.8,79.6,15.7,45.8,38.8,0,Umbria,North
40.4,22.6,12.6,79.4,15.9,31.9,46.6,0,Umbria,North
40.9,22.6,16.1,79.6,15.1,27.8,41.7,0,Umbria,North
40.9,22.6,16.1,79.6,15.1,27.8,41.7,0,Umbria,North
43.6,20.8,21.5,76.3,15.9,51.4,40.8,0,Umbria,North
41.3,20.8,14.8,78.7,15.9,27.8,54.4,0,Umbria,North
39.1,23.8,10.3,80.1,15.9,22.2,55.3,0,Umbria,North
42.7,17,20.6,78,14.9,41.7,32,0,Umbria,North
39.1,23.8,16.1,80.1,15.7,36.1,20.4,0,Umbria,North
41.3,20.8,17,79.4,15.4,36.1,24.3,0,Umbria,North
43.4,14.7,22.4,78,14.4,55.6,29.1,0,Umbria,North
44,0,20.6,80.8,12.4,69.4,17.5,0,Umbria,North
44.4,22.6,30.5,76.5,6.1,73.6,61.2,0,Umbria,North
39.8,13.2,11.7,80,17.4,52.8,51.5,0,Umbria,North
44.9,5.7,32.7,78.4,14.9,73.6,12.6,0,Umbria,North
44,5.7,20.6,80.3,11.9,69.4,17.5,0,Umbria,North
41.1,12.8,11.7,79.6,16.3,63.9,44.7,0,Umbria,North
44.4,0,26,80.1,11.9,66.7,17.5,0,Umbria,North
44.4,24.5,28.3,76.3,7.5,66.7,56.3,0,Umbria,North
39.6,17,10.3,79.9,16.8,59.7,46.6,0,Umbria,North
43.6,24.5,28.3,77.3,8.5,59.7,56.3,0,Umbria,North
